IDENT,PROBLEM,ACTION
102033,right-hand engine number 3 rocker cover leaking.,removed and replaced rocker cover gasket.
102034,number 2 and number 4 rocker cover on right-hand engine leaking.,removed and replaced rocker cover gaskets.
102035,"left,hand engine number 3 rocker cover leaking.",removed and replaced rocker cover gasket on left-hand engine number 3.
102036,engine started and seemed to be running fine. suddenly engine,ground run checks good.
102037,engine started and seemed to be running fine. suddenly engine,removed all 4 injector nozzles. ultrasonically cleaned
102038,engine started and seemed to be running fine. suddenly engine,timed both magnetos to engine and torqued hold downs. ground
102039,engine started and seemed to be running fine. suddenly engine,ground ran aircraft and found no rough engine. checked magneto timing
102040,right-hand engine number 3 cylinder intake gasket is leaking.,removed and replaced gasket.
102041,right-hand engine number 4 cylinder intake gasket is leaking.,removed and replaced gasket.
102042,number 4 cylinder side baffle on left-hand engine is missing a bolt.,installed new bolt.
102043,"left-hand engine, right-hand forward baffle seal is loose.",removed and replaced baffle seal with new.
102044,"left,hand engine number 1 cylinder intake leaks.",replaced gasket.
102045,left-hand engine number 3 cylinder compression is low.,run up leak check good.
102046,left-hand engine number 3 cylinder compression is low.,"completed install of number 3 cylinder, lines and baffles."
102047,left-hand engine number 3 cylinder compression is low.,"attempted staking valves, compression still 35 out of 80."
102048,left-hand engine number 3 cylinder compression is low.,removed baffles and lines. removed number 3 cylinder. installed repair
102049,"right-hand engine number 1 cylinder intake gasket leaking, along with number 2 and 4.",removed and replaced right-hand intake gaskets.
102050,number 2 and number 4 rocker covers leaking on left-hand engine.,removed and replaced rocker cover gaskets on left-hand engine.
102051,all 4 valve covers leaking on right-hand engine.,removed and replaced all 4 rocker cover gaskets on right-hand engine
102052,left baffle plug is worn.,replaced plug.
102053,crack on oil cooler flange.,stop drilled crack.
102054,intakes 1 and 3 leaking.,removed and replaced intake gasket.
102055,cylinder number 4 rocker cover gasket is leaking.,tightened screws.
102056,cylinder number 1 and number 3 bottom baffle is cracked at tie rod.,fabricated patch of like material and installed in accordance with reference manual
102057,number 3 cylinder rocker box cover screw missing.,"installed new screw, checked and tightened all rocker box covers"
102058,number 4 intake leaking at oil sump.,swaged tube.
102059,number 4 intake leaking at oil sump.,leak check good.
102060,cylinder number 2 intake gasket is leaking.,removed and replaced intake gasket with new.
102061,intake gasket cylinder number 2 leaking.,removed and replaced intake gasket.
102062,rocker cover gaskets cylinder number 2 and 4 leaking.,removed and replaced rocker cover gaskets.
102063,aft engine baffle worn from rubbing.,repositioned left baffle to clear from engine casing.
102064,"number 1 cylinder baffle not behind cylinder nut, incorrect install.",put in proper position.
102065,number 2 rocker cover leaking.,removed and replaced rocker cover gasket.
102066,"left,hand engine number 3 intake is leaking.",replaced intake gasket.
102067,right-hand engine number 3 intake is leaking.,replaced intake gasket.
102068,left-hand engine number 3 rocker cover is leaking.,replaced rocker cover gasket.
102069,screw missing in number 3 side baffle.,replaced screw.
102070,number 3 rocker cover gasket leaking.,removed and replaced rocker cover gasket.
102071,number 2 rocker cover leaking.,removed and replaced rocker cover gasket.
102072,"cooling baffle attachment bracket, behind oil fill tube",finished baffle install.
102073,"engine cooling baffle seal loose on top left, hand side.","reattached baffle seal on top left, hand side."
102074,"cooling baffle attachment bracket, behind oil fill tube",installed new bracket and started reinstalling baffle.
102075,number 1 rocker gasket seeping.,installed fresh gasket.
102076,cylinder number 4 rocker cover gasket leaking.,removed and replaced rocker cover gasket.
102077,number 1 intake gasket torn.,removed and replaced number 1 intake gasket.
102078,number 1 and number 3 rocker gaskets leaking.,removed and replaced rocker cover gaskets.
102079,number 4 rocker gasket leaking.,replaced rocker cover gasket.
102080,number 3 push rod seals leaking.,"replaced seals, leak check good."
102081,number 2 intake is leaking.,removed and replaced gasket.
102082,number 4 rocker cover is leaking.,removed and replaced gasket.
102083,number 1 intake is leaking at oil sump.,"cleaned, removed tube upper and reswaged lower tube"
102084,number 4 intake gasket leaking.,removed and replaced intake gasket.
102085,number 4 rocker cover gasket leaking.,removed and replaced rocker cover gasket.
102086,number 2 rocker cover gasket seeping.,installed new rocker cover gasket.
102087,"rocker cover gasket, on cylinder number 3, leaking.",removed and replaced rocker cover gasket.
102088,cylinder number 2 intake gasket leaking.,removed and replaced intake gasket.
102089,throttle linkage at servo is sloppy.,replaced throttle linkage arm.
102090,cylinder number 1 and number 3 side baffle bolt is loose.,tightened loose bolt and resafetied.
102091,engine aft right-hand ground strap needs to be secured.,secured engine ground strap.
102092,cylinder number 1 and number 3 bottom baffle is cracked.,"stop drilled crack, fabricated patch of like material"
102093,right-hand engine number 2 and number 4 side baffle seals are torn.,installed fresh baffle seal.
102094,right-hand engine number 2 and number 4 intake gaskets are leaking.,"removed and replaced intake gaskets, right-hand engine."
102095,"number 2 and number 4 intake gaskets are leaking, left-hand engine.","removed and replaced intake gaskets, left-hand engine."
102096,"numbers 2, 3 and 4 rocker gaskets are leaking, left-hand engine.","removed and replaced rocker gaskets, left-hand engine."
102097,right-hand engine number 2 and number 3 rocker gaskets are leaking.,"removed and replaced rocker cover gaskets, right-hand engine."
102098,screw behind oil filler tube loose.,leak check ok.
102099,screw behind oil filler tube loose.,"removed oil filler tube, top oil cooler line, secured secured"
102100,spark plug cap loose on number 3 bottom spark plug.,tightened cap on number 3 bottom spark plug.
102101,left-hand engine number 3 and number 4 intakes are leaking.,removed and replaced gaskets.
102102,left-hand engine number 3 and number 4 rocker covers are leaking.,removed and replaced gaskets.
102103,"right-hand engine cylinder number 2, 3, and 4 intake gaskets leaking.",removed and replaced right-hand engine intake gaskets.
102104,tool on top of engine between cylinders,removed tool
102105,number 3 cylinder baffle is missing screw on bracket.,installed new screw.
102106,cylinder number 2 rocker cover gasket damaged.,removed and replaced rocker cover gasket.
102107,number 2 intake leaking.,replaced number 2 intake gasket.
102108,"left,hand engine number 3 baffle aft seal loose.","secured number 3 baffle seal, left-hand."
102109,number 2 and 4 side baffle seals torn on right-hand engine.,repaired number 2 and number 4 baffle seals on right-hand side.
102110,number 1 induction tube gasket leaking.,replaced intake gasket.
102111,both left-hand and right-hand baffle plugs worn.,installed new baffle plugs.
102112,broken anchor assembly on number 1 cylinder.,removed and replaced anchor assembly on number 1 cylinder.
102113,number 2 cylinder forward baffle cracked.,"disassembled as required, determined baffle was previously disassembled"
102114,cylinder number 2 intake gasket leaking.,removed and replaced gasket with new.
102115,number 2 and number 3 rocker gaskets leaking.,removed and replaced rocker gaskets.
102116,number 3 and 4 intake gaskets are leaking.,removed and replaced intake gaskets.
102117,right-hand engine number 2 stack broken off.,removed and replaced stack.
102118,intake gasket number 4 is leaking.,installed new intake gasket.
102119,number 2 and number 4 rocker cover gaskets leaking.,removed and replaced rocker cover gaskets.
102120,"screw missing on engine cooling baffle, right-hand side next to oil",installed new screw.
102121,"during high speed roll, aircraft had strong vibration.",ran and taxied aircraft. performed compression check. cleaned
102122,number 2 and number 3 intake gaskets leaking.,"replaced gaskets, leak check good."
102123,"after 20 inches manifold pressure, applied full throttle, started","warmed up both engines, operations checked both engines noting noted"
102124,number 2 intake leaking.,removed and replaced number 2 intake gasket.
102125,number 4 and number 2 induction tube gasket leaking.,removed and replaced intakes.
102126,"cylinder number 2, 3, and 4 intake gaskets leaking.",removed and replaced intake gaskets.
102127,"cylinder number 2, 3, and 4 rocker cover gaskets leaking.",removed and replaced rocker cover gaskets.
102128,cylinder number 4 intake gasket is leaking.,removed and replaced gasket.
102129,cylinder number 1 wiring harness support bracket is broken.,removed and replaced standoff.
102130,air induction elbow to servo boot is weeping fuel.,"removed, disassembled, cleaned and inspected boot, no defects noted"
102131,number 3 cylinder rocker gasket seeping.,installed fresh gasket.
102132,number 2 intake gasket leaking.,removed and replaced intake gasket.
102133,"numbers 1, 3 and 4 rocker covers leaking.",removed and replaced rocker cover gaskets.
102134,number 2 intake leaking.,removed and replaced intake gasket.
102135,number 2 induction tube gasket leaking.,installed new induction tube gasket.
102136,number 2 intake leaking.,replaced gasket.
102137,2 baffle plugs needs to be replaced.,replaced plugs.
