ID,PROBLEM,ACTION,CLEANED,EDIT
101388,L/H ALL 4 ROCKER GASKETS ARE LEAKING.,REMOVED & REPLACED ALL ROCKER COVER GASKETS.,LEFT-HAND ALL FOUR ROCKER GASKETS ARE LEAKING. REMOVED AND REPLACED ALL ROCKER COVER GASKETS.,
101389,R/H ENG ALL 4 ROCKER GASKETS ARE LEAKING.,REMOVED & REPLACED ALL ROCKER COVER GASKETS.,RIGHT-HAND ENGINE ALL FOUR ROCKER GASKETS ARE LEAKING. REMOVED AND REPLACED ALL ROCKER COVER GASKETS.,
101390,ENGINE IS DIRTY.,WASHED ENGINE.,ENGINE IS DIRTY. WASHED ENGINE.,
101391,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER IS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101392,"#1, 3, 4 ROCKER COVERS ARE LEAKING.",REMOVED & REPLACED GASKETS.,"NUMBERS ONE, THREE, AND FOUR ROCKER COVERS ARE LEAKING. REMOVED AND REPLACED GASKETS.",
101393,"CYL #2, 1 ROCKER COVER GASKETS LEAKING.",REPLACED ROCKER COVER GASKETS.,CYLINDER NUMBER TWO AND NUMBER ONE ROCKER COVER GASKETS LEAKING. REPLACED ROCKER COVER GASKETS.,
101394,ROCKER COVER GASKET FROM #3 CYLINDER TORN.,REMOVED & REPLACED W/ NEW GASKET.,ROCKER COVER GASKET FROM NUMBER THREE CYLINDER TORN. REMOVED AND REPLACED WITH NEW GASKET.,
101395,REAR R/H ENGINE BAFFLE BRACKET RIVETS SHEARED.,"REMOVED REAR R/H ENGINE BAFFLE, INSTALLED NEW RIVETS TO","REAR RIGHT-HAND ENGINE BAFFLE BRACKET RIVETS SHEARED. REMOVED REAR RIGHT-HAND ENGINE BAFFLE, INSTALLED NEW RIVETS",CUTOFF - T
101396,#3 INTAKE LEAKING.,REMOVED & REPLACED #3 INTAKE GASKET.,NUMBER THREE INTAKE LEAKING. REMOVED AND REPLACED NUMBER THREE INTAKE GASKET.,
101397,R/H REAR ENGINE BAFFLE SCREW LOOSE.,TIGHTENED SCREW.,RIGHT-HAND REAR ENGINE BAFFLE SCREW LOOSE. TIGHTENED SCREW.,
101398,ENGINE IS DIRTY.,CLEANED ENGINE.,ENGINE IS DIRTY. CLEANED ENGINE.,
101399,#2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER TWO INTAKE IS LEAKING. REMOVED AND REPLACED GASKET.,
101400,MISSING SCREW FRONT BAFFLE ON R/H SIDE.,INSTALLED NEW SCREW.,MISSING SCREW FRONT BAFFLE ON RIGHT-HAND SIDE. INSTALLED NEW SCREW.,
101401,"#1, 2 & 4 ROCKER COVERS ARE LEAKING.",REMOVED & REPLACED GASKETS.,"NUMBERS ONE, TWO AND FOUR ROCKER COVERS ARE LEAKING. REMOVED AND REPLACED GASKETS.",
101402,#3 INTAKE GASKET IS LEAKING.,REPLACED GASKET.,NUMBER THREE INTAKE GASKET IS LEAKING. REPLACED GASKET.,
101403,#2 & 3 ROCKER GASKET LEAKING.,REMOVED & REPLACED GASKET.,NUMBER TWO AND NUMBER THREE ROCKER GASKET LEAKING. REMOVED AND REPLACED GASKET.,
101404,ROCKER COVER GASKET #3 CYL LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,ROCKER COVER GASKET NUMBER THREE CYLINDER LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101405,"AFT ENGINE BAFFLE BY CYL #3, SUPPORT SECURED TO ENGINE CASE",REMOVED & REPLACED RIVETS FOR ENGINE BAFFLE BRACKET BY,"AFT ENGINE BAFFLE BY CYLINDER NUMBER THREE, SUPPORT SECURED TO ENGINE CASE. REMOVED AND REPLACED RIVETS FOR ENGINE BAFFLE BRACKET",CUTOFF - T
101406,#3 ROCKER COVER LEAKING ON L/H ENGINE.,REPLACED GASKET.,NUMBER THREE ROCKER COVER LEAKING ON LEFT-HAND ENGINE. REPLACED GASKET.,
101407,#2 ROCKER COVER LEAKING ON R/H ENGINE.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED ROCKER COVER GASKET.,
101408,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,CYLINDER NUMBER TWO INTAKE GASKET LEAKING. REMOVED AND REPLACED GASKET.,
101409,CYL #1 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,CYLINDER NUMBER ONE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101410,REAR R/H ENGINE BAFFLE BRACKET CRACKED.,REMOVED REAR R/H ENGINE BAFFLE. FABRICATED NEW BRACKET,REAR RIGHT-HAND ENGINE BAFFLE BRACKET CRACKED. REMOVED REAR RIGHT-HAND ENGINE BAFFLE. FABRICATED NEW BRACKET,
101411,R/H REAR ENGINE BAFFLE MOUNTING SCREW MISSING.,INSTALLED NEW SCREW.,RIGHT-HAND REAR ENGINE BAFFLE MOUNTING SCREW MISSING. INSTALLED NEW SCREW.,
101412,#2 & 4 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,NUMBER TWO AND NUMBER FOUR ROCKER COVER IS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
101413,ENGINE IS DIRTY.,WASHED ENGINE.,ENGINE IS DIRTY. WASHED ENGINE.,
101414,CYL #1 FWD BAFFLE IS CRACKED.,STOP DRILLED CYL #1 FWD BAFFLE.,CYLINDER NUMBER ONE FORWARD BAFFLE IS CRACKED. STOP DRILLED CYLINDER NUMBER ONE FORWARD BAFFLE.,
101415,#3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED #3 ROCKER COVER GASKET.,NUMBER THREE ROCKER COVER IS LEAKING. REMOVED AND REPLACED NUMBER THREE ROCKER COVER GASKET.,
101416,STUDENT COULDN'T START A/C.,STARTED A/C.,STUDENT COULDN'T START AIRCRAFT. STARTED AIRCRAFT.,
101417,ENGINE RUNNING ROUGH AT IDLE.,RAN A/C & CONFIRMED DISCREPANCY.,ENGINE RUNNING ROUGH AT IDLE. RAN AIRCRAFT AND CONFIRMED DISCREPANCY.,
101418,L/H ENGINE CYL #3 AFT BAFFLE CRACKED.,STOP DRILLED CRACK.,LEFT-HAND ENGINE CYLINDER NUMBER THREE AFT BAFFLE CRACKED. STOP DRILLED CRACK.,
101419,R/H ENG #3 INTAKE TUBE LEAKING.,REPLACED GASKET.,RIGHT-HAND ENGINE NUMBER THREE INTAKE TUBE LEAKING. REPLACED GASKET.,
101420,"L/H ENG #2, 3 & 4 ROCKER BOX COVERS LEAKING.",REMOVED & REPLACED GASKETS.,"LEFT-HAND ENGINE NUMBERS TWO, THREE AND FOUR ROCKER BOX COVERS LEAKING. REMOVED AND REPLACED GASKETS.",
101421,IMPELLER MAKING CONTACT W/ SCROLL.,CLEARANCED IMPELLER TO SCROLL BY REMOVING SHIM IN LOWER,IMPELLER MAKING CONTACT WITH SCROLL. CLEARANCED IMPELLER TO SCROLL BY REMOVING SHIM,CUTOFF - T
101422,R/H ENG #2 CYL INTAKE GASKET IS LEAKING.,REMOVED & REPLACED GASKET.,RIGHT-HAND ENGINE NUMBER TWO CYLINDER INTAKE GASKET IS LEAKING. REMOVED AND REPLACED GASKET.,
101423,L/H ENG CYL # ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.,LEFT-HAND ENGINE CYLINDER ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED GASKET.,
101424,"L/H ENG #4 CYL, AFT UPPER SUPPORT BRACKET CRACKED ON BAFFLE.",REMOVED & REPLACED BRACKET.,"LEFT-HAND ENGINE NUMBER FOUR CYLINDER, AFT UPPER SUPPORT BRACKET CRACKED ON BAFFLE. REMOVED AND REPLACED BRACKET.",
101425,"R/H ENG CYL #3, 1 ROCKER COVER GASKETS LEAKING.","REMOVED & REPLACED R/H ENG CYL #1, 3 ROCKER COVER GASKE",RIGHT-HAND ENGINE CYLINDER NUMBER THREE AND NUMBER ONE ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED RIGHT-HAND ENGINE CYLINDER NUMBER ONE AND NUMBER THREE ROCKER COVER GASKETS,CUTOFF - C
101426,#2 & 4 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED GASKET.,NUMBER TWO AND NUMBER FOUR ROCKER COVERS ARE LEAKING. REMOVED AND REPLACED GASKET.,
101427,#3 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,NUMBER THREE ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED GASKET WITH NEW.,
101428,"ON CLIMB OUT, ENGINE LOST ABOUT 250 RPM ","RAN A/C, COULD NOT DUPLICATE PROBLEM.","ON CLIMB OUT, ENGINE LOST ABOUT TWO HUNDRED AND FIFTY RPM. RAN AIRCRAFT, COULD NOT DUPLICATE PROBLEM.",
101429,ROCKER COVER GASKETS CYL #2 & 4 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,ROCKER COVER GASKETS CYLINDER NUMBER TWO AND NUMBER FOUR LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
101430,ENGINE OVER RIDE SPEED WAS 1225 RPM.,"RAN A/C, ADJUSTED IDLE SPEED, CHECKS GOOD.","ENGINE OVERRIDE SPEED WAS TWELVE HUNDRED AND TWENTY FIVE RPM. RAN AIRCRAFT, ADJUSTED IDLE SPEED, CHECKS GOOD.",
101431,#1 ROCKER COVER IS LEAKING.,REMOVED & REPLACED GASKET.,NUMBER ONE ROCKER COVER IS LEAKING. REMOVED AND REPLACED GASKET.,
101432,CYL #3 EXT GASKET IS 1/2 GONE.,REPLACED EXT GASKET.,CYLINDER NUMBER THREE EXHAUST GASKET IS HALF GONE. REPLACED EXHAUST GASKET.,
101433,OIL COOLER LINES LACING CORD IS FALLLING APART.,REPLACED LANCING CORD.,OIL COOLER LINES LACING CORD IS FALLING APART. REPLACED LACING CORD.,
101434,"R/H ENG CYL #4, 3 INTAKE GASKETS LEAKING.",REMOVED & REPLACED GASKETS.,RIGHT-HAND ENGINE CYLINDER NUMBER FOUR AND NUMBER THREE INTAKE GASKETS LEAKING. REMOVED AND REPLACED GASKETS.,
101435,"L/H ENG CYL #1, 3 INTAKE GASKETS LEAKING.","REMOVED & REPLACED L/H ENG CYL #1, 3 INTAKE GASKETS.",LEFT-HAND ENGINE CYLINDER NUMBER ONE AND NUMBER THREE INTAKE GASKETS LEAKING. REMOVED AND REPLACED LEFT-HAND ENGINE CYLINDER NUMBER ONE AND NUMBER THREE INTAKE GASKETS.,
101436,"L/H ENG CYL #2, 3, 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED LH/ ENG ROCKER COVER GASKETS.,"LEFT-HAND ENGINE CYLINDER NUMBERS TWO, THREE, AND FOUR ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED LEFT-HAND ENGINE ROCKER COVER GASKETS.",
101437,R/H ENG ALL CYL ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ALL CYL ROCKER COVER GASKETS ON R/H,RIGHT-HAND ENGINE ALL CYLINDER ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ALL CYLINDER ROCKER COVER GASKETS ON RIGHT-HAND,
101438,CYL #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET W/ NEW.,CYLINDER NUMBER FOUR INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET WITH NEW.,
101439,R/H ENG #3 CYL HAS LOW COMPRESSION (54/80).,"RAN A/C, RECHECKED COMPRESSION - NOW 65/80.","RIGHT-HAND ENGINE NUMBER THREE CYLINDER HAS LOW COMPRESSION, FIFTY FOUR OUT OF EIGHTY. RAN AIRCRAFT, RECHECKED COMPRESSION. NOW SIXTY FIVE OUT OF EIGHTY.","PUNC - B, PUNC - D"
101440,R/H ENG #2 & 3 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED #2 & 3 ROCKER COVER GASKETS ON R/H E,RIGHT-HAND ENGINE NUMBER TWO AND NUMBER THREE ROCKER COVERS ARE LEAKING. REMOVED AND REPLACED NUMBER TWO AND NUMBER THREE ROCKER COVER GASKETS ON RIGHT-HAND ENGINE,CUTOFF - C
101441,L/H ENGINE #1 & 3 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED L/H ENG #1 & 3 ROCKER COVER GASKETS.,LEFT-HAND ENGINE NUMBER ONE AND NUMBER THREE ROCKER COVERS ARE LEAKING. REMOVED AND REPLACED LEFT-HAND ENGINE NUMBER ONE AND NUMBER THREE ROCKER COVER GASKETS.,
101442,R/H ENGINE #4 CYLINDER AFT BAFFLE WIRE HARNESS TAB IS CRACKE,"REMOVED CRACKED PART, FABRICATED PART W/ SIMILAR MATERI","RIGHT-HAND ENGINE NUMBER FOUR CYLINDER AFT BAFFLE WIRE HARNESS TAB IS CRACKED. REMOVED CRACKED PART, FABRICATED PART WITH SIMILAR MATERIAL",CUTOFF - C
101443,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER W/ NEW.,NUMBER TWO ROCKER COVER IS LEAKING. REMOVED AND REPLACED ROCKER COVER WITH NEW.,
101444,#4 ROCKER COVER LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER FOUR ROCKER COVER LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101445,#2 INTAKE GASKET IS LEAKING.,"REPLACED W/ NEW GASKET, LEAK CHECK GOOD.","NUMBER TWO INTAKE GASKET IS LEAKING. REPLACED WITH NEW GASKET, LEAK CHECK GOOD.",
101446,#1 CYLINDER IS MISSING A ROCKER COVER SCREW.,INSTALLED SCREW & CHECKED ALL OTHER SCREWS - OK.,"NUMBER ONE CYLINDER IS MISSING A ROCKER COVER SCREW. INSTALLED SCREW AND CHECKED ALL OTHER SCREWS, OK.",PUNC - D
101447,INTAKE GASKET CYL #2 LEAKING.,REMOVED & REPLACED INTAKE GASKET.,INTAKE GASKET CYLINDER NUMBER TWO LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
101448,ROCKER COVER GASKET CYL #4 LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,ROCKER COVER GASKET CYLINDER NUMBER FOUR LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101449,CYL #2 & 3 ROCKER COVERS ARE LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,CYLINDER NUMBER TWO AND NUMBER THREE ROCKER COVERS ARE LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
101450,#3 CYLINDER EXHAUST VALVE PUSH ROD TUBE APPEARS TO BE LEAKIN,CLEANED AREA.,NUMBER THREE CYLINDER EXHAUST VALVE PUSH ROD TUBE APPEARS TO BE LEAKING. CLEANED AREA.,CUTOFF - C
101451,#3 CYLINDER EXHAUST VALVE PUSH ROD TUBE APPEARS TO BE LEAKIN,LEAK CHECK GOOD.,NUMBER THREE CYLINDER EXHAUST VALVE PUSH ROD TUBE APPEARS TO BE LEAKING. LEAK CHECK GOOD.,CUTOFF - C
101452,"INTAKES 2, 3 & 4 LEAKING ON R/H ENGINE.",REMOVED & REPLACED GASKETS.,"INTAKES TWO, THREE AND FOUR LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED GASKETS.",
101453,INTAKES 2 & 4 LEAKING ON L/H ENGINE.,REMOVED & REPLACED INTAKE GASKETS.,INTAKES TWO AND FOUR LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED INTAKE GASKETS.,
101454,"ROCKER COVERS 1, 2 & 4 LEAKING ON L/H ENGINE.",REMOVED & REPLACED ROCKER COVER GASKETS.,"ROCKER COVERS ONE, TWO AND FOUR LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED ROCKER COVER GASKETS.",
101455,#3 CYLINDER ON R/H ENGINE HAS LOW COMPRESSION.,RUN UP & LEAK CK GOOD (COMPRESSION 75/80).,NUMBER THREE CYLINDER ON RIGHT-HAND ENGINE HAS LOW COMPRESSION. RUN UP AND LEAK CHECK GOOD. COMPRESSION SEVENTY FIVE OUT OF EIGHTY.,PUNC - B
101456,#3 CYLINDER ON R/H ENGINE HAS LOW COMPRESSION.,"STAKED VALVES, REINSTALL COVER W/ NEW GASKET.","NUMBER THREE CYLINDER ON RIGHT-HAND ENGINE HAS LOW COMPRESSION. STAKED VALVES, REINSTALL COVER WITH NEW GASKET.",
101457,#3 CYLINDER ON R/H ENGINE HAS LOW COMPRESSION.,#3 CYL PRESS LOW EVEN AFTER ENGINE RUN UP. REMOVED R/H,NUMBER THREE CYLINDER ON RIGHT-HAND ENGINE HAS LOW COMPRESSION. NUMBER THREE CYLINDER PRESSURE LOW EVEN AFTER ENGINE RUN UP. REMOVED RIGHT-HAND ENGINE,CUTOFF - C
101458,#3 CYLINDER ON R/H ENGINE HAS LOW COMPRESSION.,"FOUND LEAKY INTAKE VALVE. DISASSEMBLED CYLINDER, DRESSE",NUMBER THREE CYLINDER ON RIGHT-HAND ENGINE HAS LOW COMPRESSION. FOUND LEAKY INTAKE VALVE. DISASSEMBLED CYLINDER,CUTOFF - T
101459,#3 CYLINDER ON R/H ENGINE HAS LOW COMPRESSION.,DRY TAPPET CLEARANCE CK GOOD W/ SHORTER PUSH ROD ON INT,NUMBER THREE CYLINDER ON RIGHT-HAND ENGINE HAS LOW COMPRESSION. DRY TAPPET CLEARANCE CHECK GOOD WITH SHORTER PUSH ROD ON INTAKE,CUTOFF - C
101460,#3 CYLINDER ON R/H ENGINE HAS LOW COMPRESSION.,"HONED CYL, MEASURED BORE - CHECK OK. CLEANED PISTON, FI","NUMBER THREE CYLINDER ON RIGHT-HAND ENGINE HAS LOW COMPRESSION. HONED CYLINDER, MEASURED BORE, CHECK OK. CLEANED PISTON","CUTOFF - T, PUNC - D"
101461,"R/H ENG, #1 INTAKE IS LEAKING.",REMOVED & REPLACED INTAKE GASKET.,"RIGHT-HAND ENGINE, NUMBER ONE INTAKE IS LEAKING. REMOVED AND REPLACED INTAKE GASKET.",
101462,"L/H ENG, #2 INTAKE TUBE GASKET LEAKING.",INSTALLED NEW INTAKE TUBE GASKET.,"LEFT-HAND ENGINE, NUMBER TWO INTAKE TUBE GASKET LEAKING. INSTALLED NEW INTAKE TUBE GASKET.",
101463,A/C WOULD NOT START.,STARTED A/C.,AIRCRAFT WOULD NOT START. STARTED AIRCRAFT.,
101464,"CYL #2, L/H ENG, INTAKE GASKET LEAKING.",REMOVED & REPLACED L/H ENG CYL #2 INTAKE GASKET.,"CYLINDER NUMBER TWO, LEFT-HAND ENGINE, INTAKE GASKET LEAKING. REMOVED AND REPLACED LEFT-HAND ENGINE CYLINDER NUMBER TWO INTAKE GASKET.",
101465,"R/H ENG CYL #1, 2, 3 & 4 ROCKER COVERS LEAKING.",REMOVED & REPLACED R/H ENG ROCKER COVER GASKETS.,"RIGHT-HAND ENGINE CYLINDER NUMBERS ONE, TWO, THREE AND FOUR ROCKER COVERS LEAKING. REMOVED AND REPLACED RIGHT-HAND ENGINE ROCKER COVER GASKETS.",
101466,"L/H ENG, CYL #1, 3, 4 ROCKER COVER GASKETS LEAKING.","REMOVED & REPLACED L/H ENG CYL #1, 3 & 4 ROCKER COVER G","LEFT-HAND ENGINE, CYLINDER NUMBERS ONE, THREE, AND FOUR ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED LEFT-HAND ENGINE CYLINDER NUMBERS ONE, THREE AND FOUR ROCKER COVER GASKETS",CUTOFF - C
101467,#1 CYL LWR INTAKE CLAMPS ARE LOOSE.,ADJUSTED BOTH CLAMPS TO ACCESS BETTER & TIGHTENED.,NUMBER ONE CYLINDER LOWER INTAKE CLAMPS ARE LOOSE. ADJUSTED BOTH CLAMPS TO ACCESS BETTER AND TIGHTENED.,
101468,#2 & 3 ROCKER COVERS LEAKING.,REMOVED & REPLACED GASKETS.,NUMBER TWO AND NUMBER THREE ROCKER COVERS LEAKING. REMOVED AND REPLACED GASKETS.,
101469,CRACK IN AFT ENGINE BAFFLE @ OIL COOLER ON R/H ENGINE.,STOP DRILLED CRACK.,CRACK IN AFT ENGINE BAFFLE AT OIL COOLER ON RIGHT-HAND ENGINE. STOP DRILLED CRACK.,
101470,#3 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED #3 INTAKE GASKET ON R/H ENGINE.,NUMBER THREE INTAKE LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED NUMBER THREE INTAKE GASKET ON RIGHT-HAND ENGINE.,
101471,IDLE OVERRIDE LOW.,"PILOT RAN A/C, ADJUSTED IDLE SPEED. CHECKS GOOD.","IDLE OVERRIDE LOW. PILOT RAN AIRCRAFT, ADJUSTED IDLE SPEED. CHECKS GOOD.",
101472,"#1, 3 & 4 CYLINDER ROCKER COVERS ARE LEAKING.","REPLACED ROCKER COVER GASKETS, CYL #3 HOLES HAD TO BE T","NUMBERS ONE, THREE AND FOUR CYLINDER ROCKER COVERS ARE LEAKING. REPLACED ROCKER COVER GASKETS, CYLINDER NUMBER THREE HOLES HAD TO BE TAPPED",CUTOFF - C
101473,CYL #2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,CYLINDER NUMBER TWO ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101474,CYL #2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED CYL #2 ROCKER COVER GASKET.,CYLINDER NUMBER TWO ROCKER COVER GASKET LEAKING. REMOVED AND REPLACED CYLINDER NUMBER TWO ROCKER COVER GASKET.,
101475,SPARK PLUG ACCESS HOLE ON BAFFLE CYL #4 ELONGATED.,FABRICATED PATCH AROUND ACCESS HOLE & RIVETED,SPARK PLUG ACCESS HOLE ON BAFFLE CYLINDER NUMBER FOUR ELONGATED. FABRICATED PATCH AROUND ACCESS HOLE AND RIVETED,
101476,#2 ROCKER COVER IS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKET.,NUMBER TWO ROCKER COVER IS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKET.,
101477,CYL #2 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,CYLINDER NUMBER TWO INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
101478,"#2, 4 ROCKER COVER GASKETS LEAKING.","REMOVED & REPLACED #2, 4 ROCKER COVER GASKETS.",NUMBER TWO AND NUMBER FOUR ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED NUMBER TWO AND NUMBER FOUR ROCKER COVER GASKETS.,
101479,INTAKE GASKET CYL #2 LEAKING.,REMOVED & REPLACED INTAKE GASKET.,INTAKE GASKET CYLINDER NUMBER TWO LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
101480,"ROCKER COVER GASKETS CYL #1, 2 & 3 LEAKING.",REMOVED & REPLACED ROCKER COVER GASKETS.,"ROCKER COVER GASKETS CYLINDER NUMBERS ONE, TWO AND THREE LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.",
101481,"FRONT RUBBER BAFFLE ON ENGINE, R/H SIDE, RIPPED FROM MOUNTIN",INSTALLED NEW RIVET ON BAFFLE.,"FRONT RUBBER BAFFLE ON ENGINE, RIGHT-HAND SIDE, RIPPED FROM MOUNTING. INSTALLED NEW RIVET ON BAFFLE.",CUTOFF - C
101482,R/H BAFFLE HAS A CRACK.,STOP DRILLED CRACK.,RIGHT-HAND BAFFLE HAS A CRACK. STOP DRILLED CRACK.,
101483,CYL #4 INTAKE IS LEAKING.,REMOVED & REPLACED CYL #4 INTAKE.,CYLINDER NUMBER FOUR INTAKE IS LEAKING. REMOVED AND REPLACED CYLINDER NUMBER FOUR INTAKE.,
101484,CYL #3 ROCKER COVER IS LEAKING.,REMOVED & REPLACED CYL #3 ROCKER COVER GASKET.,CYLINDER NUMBER THREE ROCKER COVER IS LEAKING. REMOVED AND REPLACED CYLINDER NUMBER THREE ROCKER COVER GASKET.,
101485,CYL #1 ROCKER COVER GASKET TORN.,REMOVED & REPLACED ROCKER COVER GASKET.,CYLINDER NUMBER ONE ROCKER COVER GASKET TORN. REMOVED AND REPLACED ROCKER COVER GASKET.,
101486,CYL #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,CYLINDER NUMBER FOUR INTAKE GASKET LEAKING. REMOVED AND REPLACED INTAKE GASKET.,
101487,CYL #1 & 3 ROCKER COVER GASKETS LEAKING.,REMOVED & REPLACED ROCKER COVER GASKETS.,CYLINDER NUMBER ONE AND NUMBER THREE ROCKER COVER GASKETS LEAKING. REMOVED AND REPLACED ROCKER COVER GASKETS.,
101488,#4 INTAKE LEAKING ON L/H ENGINE.,REPLACED GASKET.,NUMBER FOUR INTAKE LEAKING ON LEFT-HAND ENGINE. REPLACED GASKET.,
101489,#1 & 4 INTAKES LEAKING ON R/H ENGINE.,REMOVED & REPLACED GASKETS.,NUMBER ONE AND NUMBER FOUR INTAKES LEAKING ON RIGHT-HAND ENGINE. REMOVED AND REPLACED GASKETS.,
101490,ALL ROCKER COVER SCREWS LOOSE.,TIGHTENED ALL SCREWS.,ALL ROCKER COVER SCREWS LOOSE. TIGHTENED ALL SCREWS.,
101491,L/H ENGINE CYL #3 AFT BAFFLE IS CRACKED.,STOP DRILLED CRACK.,LEFT-HAND ENGINE CYLINDER NUMBER THREE AFT BAFFLE IS CRACKED. STOP DRILLED CRACK.,
101492,L/H ENGINE CYL #1 & 3 INNER CYL BAFFLE TIE ROD AFT NUT IS MI,INSTALLED NEW NUT.,LEFT-HAND ENGINE CYLINDER NUMBER ONE AND NUMBER THREE INNER CYLINDER BAFFLE TIE ROD AFT NUT IS MISSING. INSTALLED NEW NUT.,CUTOFF - C
101493,"CYL #2, 3 & 4 INTAKE GASKETS ARE LEAKING ON L/H ENG.",REMOVED & REPLACED GASKETS.,"CYLINDER NUMBERS TWO, THREE AND FOUR INTAKE GASKETS ARE LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED GASKETS.",
101494,CYL #1 & 3 ROCKER COVER GASKETS ARE LEAKING ON L/H ENG.,REMOVED & REPLACED CYL #3 ROCKER COVER GASKETS.,CYLINDER NUMBER ONE AND NUMBER THREE ROCKER COVER GASKETS ARE LEAKING ON LEFT-HAND ENGINE. REMOVED AND REPLACED CYLINDER NUMBER THREE ROCKER COVER GASKETS.,
101495,R/H ENG CYL 1 & 3 ROCKER COVER GASKETS ARE LEAKING.,REMOVED & REPLACED R/H ENG CYL #1 & 3 ROCKER COVER GASK,RIGHT-HAND ENGINE CYLINDER ONE AND THREE ROCKER COVER GASKETS ARE LEAKING. REMOVED AND REPLACED RIGHT-HAND ENGINE CYLINDER NUMBER ONE AND NUMBER THREE ROCKER COVER GASKETS,CUTOFF - C
101496,CYL #3 INTAKE PIPE NEEDS TO BE RESWEDGED INTO SUMP.,RESWEDGED INTAKE TUBE IAW LYCOMING OVERHAUL,CYLINDER NUMBER THREE INTAKE PIPE NEEDS TO BE RESWEDGED INTO SUMP. RESWEDGED INTAKE TUBE IN ACCORDANCE WITH LYCOMING OVERHAUL MANUAL,CUTOFF - C
101497,R/H REAR BAFFLE MOUNTING SCREW LOOSE.,TIGHTENED SCREW.,RIGHT-HAND REAR BAFFLE MOUNTING SCREW LOOSE. TIGHTENED SCREW.,
101498,#2 INTAKE TUBE GASKET LEAKING.,INSTALLED NEW #2 INTAKE TUBE GASKET.,NUMBER TWO INTAKE TUBE GASKET LEAKING. INSTALLED NEW NUMBER TWO INTAKE TUBE GASKET.,
